date,current_energy_generation,realized_load,temperature_celsius
2022-07-10 00:00:00+00:00,11872.640625,11198.111979166666,16.8875
2022-07-11 00:00:00+00:00,12360.635416666666,13312.661458333334,19.724999999999998
2022-07-12 00:00:00+00:00,13170.825520833334,13517.567708333334,21.5125
2022-07-13 00:00:00+00:00,14241.057291666666,14075.3515625,24.875
2022-07-14 00:00:00+00:00,13767.677083333334,13994.088541666666,23.2
2022-07-15 00:00:00+00:00,13367.3046875,13517.940104166666,19.216666666666665
2022-07-16 00:00:00+00:00,12564.8984375,11682.921875,19.591666666666665
2022-07-17 00:00:00+00:00,10693.765625,10681.59375,21.241666666666667
2022-07-18 00:00:00+00:00,12653.010416666666,13221.4765625,24.224999999999998
2022-07-19 00:00:00+00:00,14007.5234375,13786.4375,28.045833333333334
2022-07-20 00:00:00+00:00,14855.541666666666,14298.71875,28.379166666666666
2022-07-21 00:00:00+00:00,13897.244791666666,13887.888020833334,22.474999999999998
2022-07-22 00:00:00+00:00,13463.604166666666,13268.8515625,22.34583333333333
2022-07-23 00:00:00+00:00,11855.6640625,11354.026041666666,22.979166666666668
2022-07-24 00:00:00+00:00,11927.28125,10785.682291666666,24.8
2022-07-25 00:00:00+00:00,14324.041666666666,13948.828125,25.808333333333334
2022-07-26 00:00:00+00:00,14565.276041666666,13576.864583333334,21.787499999999998
2022-07-27 00:00:00+00:00,13746.4375,13337.072916666666,19.741666666666667
2022-07-28 00:00:00+00:00,12968.15625,13437.145833333334,21.733333333333334
2022-07-29 00:00:00+00:00,12757.7578125,13191.265625,21.8625
2022-07-30 00:00:00+00:00,10700.223958333334,11008.411458333334,22.004166666666666
2022-07-31 00:00:00+00:00,10617.653645833334,10567.171875,22.929166666666664
2022-08-01 00:00:00+00:00,11910.1796875,13073.802083333334,23.204166666666666
2022-08-02 00:00:00+00:00,12290.651041666666,13256.809895833334,23.641666666666666
2022-08-03 00:00:00+00:00,12379.325520833334,13437.177083333334,26.354166666666668
2022-08-04 00:00:00+00:00,12261.755208333334,13544.190104166666,28.97083333333333
2022-08-05 00:00:00+00:00,12136.6015625,13303.763020833334,23.083333333333332
2022-08-06 00:00:00+00:00,11407.015625,11303.338541666666,19.320833333333333
2022-08-07 00:00:00+00:00,10346.955729166666,10405.6171875,20.895833333333332
2022-08-08 00:00:00+00:00,11530.375,12824.114583333334,22.9375
2022-08-09 00:00:00+00:00,12047.526041666666,13108.6953125,24.516666666666666
2022-08-10 00:00:00+00:00,12183.979166666666,13166.231770833334,24.691666666666666
2022-08-11 00:00:00+00:00,12141.169270833334,13157.953125,24.900000000000002
2022-08-12 00:00:00+00:00,11906.638020833334,12856.802083333334,24.875
2022-08-13 00:00:00+00:00,10587.455729166666,11126.265625,25.0625
2022-08-14 00:00:00+00:00,11082.958333333334,10845.375,26.099999999999998
2022-08-15 00:00:00+00:00,10993.442708333334,12887.317708333334,22.47083333333333
2022-08-16 00:00:00+00:00,11427.2109375,13163.619791666666,22.458333333333332
2022-08-17 00:00:00+00:00,11026.143229166666,13343.473958333334,22.183333333333334
2022-08-18 00:00:00+00:00,10804.7578125,13448.6796875,22.066666666666666
2022-08-19 00:00:00+00:00,10058.041666666666,12990.450520833334,23.47083333333333
